player_id,status,p_start,exp_minutes
7,,0.9,80.0
1,,0.87,77.6
8,,0.84,75.2
2,,0.81,72.8
2047,,0.4,40.0
2048,,0.12,17.6
3,,0.12,17.6
2066,,0.12,17.6
5,,0.12,17.6
12,,0.9,80.0
9,,0.87,77.6
10,,0.4,40.0
13,,0.12,17.6
14,,0.12,17.6
15,,0.12,17.6
21,,0.9,80.0
11,,0.87,77.6
26,,0.84,75.2
27,,0.81,72.8
24,,0.4,40.0
2049,,0.12,17.6
23,,0.12,17.6
22,,0.12,17.6
19,,0.9,80.0
18,,0.4,40.0
2046,,0.12,17.6
28,,0.9,80.0
30,,0.87,77.6
1318,,0.84,75.2
31,,0.81,72.8
34,,0.4,40.0
1323,,0.12,17.6
1320,,0.12,17.6
38,,0.9,80.0
39,,0.87,77.6
1338,,0.4,40.0
43,,0.12,17.6
57,,0.9,80.0
56,,0.87,77.6
51,,0.84,75.2
50,,0.81,72.8
41,,0.4,40.0
55,,0.12,17.6
53,,0.12,17.6
54,,0.12,17.6
1326,,0.12,17.6
48,,0.12,17.6
42,,0.12,17.6
45,,0.9,80.0
46,,0.4,40.0
47,,0.12,17.6
66,,0.9,80.0
58,,0.87,77.6
67,,0.84,75.2
2002,,0.81,72.8
72,,0.4,40.0
60,,0.12,17.6
61,,0.12,17.6
62,,0.12,17.6
63,,0.12,17.6
64,,0.12,17.6
2006,,0.9,80.0
68,,0.87,77.6
70,,0.4,40.0
2007,,0.12,17.6
76,,0.9,80.0
74,,0.4,40.0
75,,0.12,17.6
2050,,0.9,80.0
2004,,0.87,77.6
81,,0.84,75.2
83,,0.81,72.8
82,,0.4,40.0
80,,0.12,17.6
77,,0.12,17.6
2003,,0.12,17.6
2005,,0.12,17.6
85,,0.9,80.0
88,,0.87,77.6
90,,0.84,75.2
86,,0.81,72.8
87,,0.4,40.0
92,,0.12,17.6
91,,0.12,17.6
93,,0.12,17.6
94,,0.12,17.6
95,,0.9,80.0
96,,0.87,77.6
97,,0.4,40.0
98,,0.9,80.0
101,,0.4,40.0
99,,0.12,17.6
107,,0.9,80.0
102,,0.87,77.6
103,,0.84,75.2
108,,0.81,72.8
109,,0.4,40.0
106,,0.12,17.6
110,,0.12,17.6
105,,0.12,17.6
111,,0.12,17.6
104,,0.12,17.6
2075,,0.12,17.6
114,,0.9,80.0
117,,0.87,77.6
115,,0.84,75.2
116,,0.81,72.8
118,,0.4,40.0
120,,0.12,17.6
123,,0.12,17.6
121,,0.12,17.6
122,,0.12,17.6
125,,0.9,80.0
138,,0.87,77.6
1526,,0.84,75.2
137,,0.81,72.8
129,,0.4,40.0
136,,0.12,17.6
128,,0.12,17.6
119,,0.12,17.6
1524,,0.12,17.6
135,,0.12,17.6
1527,,0.12,17.6
124,,0.9,80.0
127,,0.87,77.6
1525,,0.4,40.0
1522,,0.9,80.0
132,,0.4,40.0
1523,,0.12,17.6
145,,0.9,80.0
140,,0.87,77.6
141,,0.84,75.2
139,,0.81,72.8
142,,0.4,40.0
144,,0.12,17.6
143,,0.12,17.6
1341,,0.12,17.6
147,,0.9,80.0
146,,0.87,77.6
152,,0.4,40.0
150,,0.12,17.6
149,,0.12,17.6
148,,0.12,17.6
151,,0.12,17.6
2067,,0.9,80.0
153,,0.4,40.0
155,,0.12,17.6
