id,name,nation,position,price,club,full_name,status,ownership
1,Rayan Aït-Nouri,Algeria,DEF,4.9,ALG,Rayan Aït-Nouri,playing,1.1
2,Ramy Bensebaini,Algeria,DEF,4.4,ALG,Ramy Bensebaini,playing,0.2
3,Aïssa Mandi,Algeria,DEF,3.9,ALG,Aïssa Mandi,playing,0.1
4,Mehdi Dorval,Algeria,DEF,3.7,ALG,Mehdi Dorval,transferred,0.0
5,Zinéddine Belaïd,Algeria,DEF,3.7,ALG,Zinéddine Belaïd,playing,0.0
6,Sohaib Nair,Algeria,DEF,3.5,ALG,Sohaib Nair,transferred,0.3
7,Rafik Belghali,Algeria,DEF,3.5,ALG,Rafik Belghali,playing,1.7
8,Achref Abada,Algeria,DEF,3.5,ALG,Achref Abada,playing,0.6
9,Mohammed Amoura,Algeria,FWD,6.2,ALG,Mohammed Amoura,playing,0.1
10,Amine Gouiri,Algeria,FWD,6.2,ALG,Amine Gouiri,playing,0.1
11,Riyad Mahrez,Algeria,MID,6.5,ALG,Riyad Mahrez,playing,0.6
12,Ibrahim Maza,Algeria,FWD,5.4,ALG,Ibrahim Maza,playing,0.2
13,Anis Hadj Moussa,Algeria,FWD,5.3,ALG,Anis Hadj Moussa,playing,0.1
14,Farès Ghedjemis,Algeria,FWD,4.4,ALG,Farès Ghedjemis,playing,0.0
15,Ahmed Benbouali,Algeria,FWD,4.2,ALG,Ahmed Benbouali,playing,0.0
16,Amin Chiakha,Algeria,FWD,4.0,ALG,Amin Chiakha,transferred,0.1
17,Anthony Mandréa,Algeria,GK,3.9,ALG,Anthony Mandréa,transferred,0.0
18,Luca Zidane,Algeria,GK,3.8,ALG,Luca Zidane,playing,1.0
19,Melvin Mastil,Algeria,GK,3.5,ALG,Melvin Mastil,playing,2.0
20,Kilian Belazzoug,Algeria,GK,3.5,ALG,Kilian Belazzoug,transferred,0.0
21,Adil Boulbina,Algeria,MID,4.0,ALG,Adil Boulbina,playing,2.5
22,Yacine Titraoui,Algeria,MID,4.7,ALG,Yacine Titraoui,playing,0.0
23,Ramiz Zerrouki,Algeria,MID,5.3,ALG,Ramiz Zerrouki,playing,0.0
24,Hicham Boudaoui,Algeria,MID,5.5,ALG,Hicham Boudaoui,playing,0.0
25,Adil Aouchiche,Algeria,MID,5.6,ALG,Adil Aouchiche,transferred,0.0
26,Houssem Aouar,Algeria,MID,6.0,ALG,Houssem Aouar,playing,0.1
27,Farès Chaïbi,Algeria,MID,6.2,ALG,Farès Chaïbi,playing,0.0
28,Cristian Romero,Argentina,DEF,4.9,ARG,Cristian Romero,playing,4.9
29,Marcos Senesi,Argentina,DEF,4.7,ARG,Marcos Senesi,transferred,0.3
30,Nahuel Molina,Argentina,DEF,4.4,ARG,Nahuel Molina,playing,3.4
31,Nicolás Otamendi,Argentina,DEF,4.4,ARG,Nicolás Otamendi,playing,2.3
32,Marcos Acuña,Argentina,DEF,4.3,ARG,Marcos Acuña,transferred,0.1
33,Lucas Martínez Quarta,Argentina,DEF,4.3,ARG,Lucas Martínez Quarta,transferred,0.0
34,Nicolás Tagliafico,Argentina,DEF,4.3,ARG,Nicolás Tagliafico,playing,1.3
35,Gabriel Rojas,Argentina,DEF,4.0,ARG,Gabriel Rojas,transferred,0.1
36,Agustín Giay,Argentina,DEF,3.7,ARG,Agustín Giay,transferred,0.0
38,Lionel Messi,Argentina,FWD,10.0,ARG,Lionel Messi,playing,17.9
39,Julián Alvarez,Argentina,FWD,8.6,ARG,Julián Alvarez,playing,16.0
40,Gianluca Prestianni,Argentina,MID,5.6,ARG,Gianluca Prestianni,transferred,0.0
41,Giuliano Simeone,Argentina,MID,5.6,ARG,Giuliano Simeone,playing,0.8
42,Nico González,Argentina,MID,5.6,ARG,Nico González,playing,0.1
43,José Manuel López,Argentina,FWD,5.3,ARG,José Manuel López,playing,0.1
44,Franco Mastantuono,Argentina,MID,5.8,ARG,Franco Mastantuono,transferred,0.0
45,Emiliano Martínez,Argentina,GK,5.0,ARG,Emiliano Martínez,playing,21.8
46,Gerónimo Rulli,Argentina,GK,4.5,ARG,Gerónimo Rulli,playing,0.2
47,Juan Musso,Argentina,GK,4.3,ARG,Juan Musso,playing,0.1
48,Leandro Paredes,Argentina,MID,5.6,ARG,Leandro Paredes,playing,0.2
49,Máximo Perrone,Argentina,MID,5.6,ARG,Máximo Perrone,transferred,0.0
50,Rodrigo De Paul,Argentina,MID,5.9,ARG,Rodrigo De Paul,playing,0.9
51,Nico Paz,Argentina,MID,5.9,ARG,Nico Paz,playing,1.3
52,Alejandro Garnacho,Argentina,MID,5.5,ARG,Alejandro Garnacho,transferred,0.0
53,Valentín Barco,Argentina,MID,6.2,ARG,Valentín Barco,playing,0.3
54,Exequiel Palacios,Argentina,MID,6.0,ARG,Exequiel Palacios,playing,0.2
55,Thiago Almada,Argentina,MID,6.5,ARG,Thiago Almada,playing,0.3
56,Alexis Mac Allister,Argentina,MID,6.6,ARG,Alexis Mac Allister,playing,3.3
57,Enzo Fernández,Argentina,MID,7.5,ARG,Enzo Fernández,playing,3.2
58,Jordan Bos,Australia,DEF,4.0,AUS,Jordan Bos,playing,0.4
59,Kye Rowles,Australia,DEF,3.9,AUS,Kye Rowles,transferred,0.0
60,Alessandro Circati,Australia,DEF,3.9,AUS,Alessandro Circati,playing,0.1
61,Cameron Burgess,Australia,DEF,3.8,AUS,Cameron Burgess,playing,0.1
62,Milos Degenek,Australia,DEF,3.8,AUS,Milos Degenek,playing,0.0
63,Aziz Behich,Australia,DEF,3.8,AUS,Aziz Behich,playing,0.0
64,Jason Geria,Australia,DEF,3.7,AUS,Jason Geria,playing,0.0
65,Fran Karacic,Australia,DEF,3.6,AUS,Fran Karacic,transferred,0.0
66,Kai Trewin,Australia,DEF,3.5,AUS,Kai Trewin,playing,0.5
67,Lucas Herrington,Australia,DEF,3.5,AUS,Lucas Herrington,playing,0.3
68,Nestory Irankunda,Australia,FWD,5.1,AUS,Nestory Irankunda,playing,0.3
69,Martin Boyle,Australia,FWD,5.1,AUS,Martin Boyle,transferred,0.0
70,Nishan Velupillay,Australia,FWD,4.4,AUS,Nishan Velupillay,playing,0.0
