id,name,nation,position,price,club
BRA_01,Maren,Brazil,GK,6.0,
BRA_02,Maros,Brazil,GK,6.5,
BRA_03,Maric,Brazil,DEF,6.0,
BRA_04,Marke,Brazil,DEF,7.5,
BRA_05,Marov,Brazil,DEF,8.0,
BRA_06,Maral,Brazil,DEF,8.0,
BRA_07,Marander,Brazil,DEF,8.0,
BRA_08,Marino,Brazil,MID,7.5,
BRA_09,Marsson,Brazil,MID,7.5,
BRA_10,Marez,Brazil,MID,9.5,
BRA_11,Marard,Brazil,MID,10.0,
BRA_12,Marot,Brazil,MID,7.5,
BRA_13,Marius,Brazil,FWD,10.5,
BRA_14,Marby,Brazil,FWD,10.0,
BRA_15,Marek,Brazil,FWD,11.0,
ARG_01,Taven,Argentina,GK,6.0,
ARG_02,Tavos,Argentina,GK,6.0,
ARG_03,Tavic,Argentina,DEF,8.0,
ARG_04,Tavke,Argentina,DEF,7.5,
ARG_05,Tavov,Argentina,DEF,7.5,
ARG_06,Taval,Argentina,DEF,7.0,
ARG_07,Tavander,Argentina,DEF,7.5,
ARG_08,Tavino,Argentina,MID,7.0,
ARG_09,Tavsson,Argentina,MID,8.5,
ARG_10,Tavez,Argentina,MID,9.5,
ARG_11,Tavard,Argentina,MID,9.0,
ARG_12,Tavot,Argentina,MID,9.0,
ARG_13,Tavius,Argentina,FWD,9.0,
ARG_14,Tavby,Argentina,FWD,8.5,
ARG_15,Tavek,Argentina,FWD,9.5,
FRA_01,Breen,France,GK,7.5,
FRA_02,Breos,France,GK,6.5,
FRA_03,Breic,France,DEF,7.0,
FRA_04,Breke,France,DEF,8.0,
FRA_05,Breov,France,DEF,7.0,
FRA_06,Breal,France,DEF,8.0,
FRA_07,Breander,France,DEF,7.0,
FRA_08,Breino,France,MID,8.5,
FRA_09,Bresson,France,MID,8.5,
FRA_10,Breez,France,MID,9.5,
FRA_11,Breard,France,MID,9.5,
FRA_12,Breot,France,MID,7.5,
FRA_13,Breius,France,FWD,9.5,
FRA_14,Breby,France,FWD,9.0,
FRA_15,Breek,France,FWD,10.5,
SPA_01,Coren,Spain,GK,5.5,
SPA_02,Coros,Spain,GK,6.5,
SPA_03,Coric,Spain,DEF,7.5,
SPA_04,Corke,Spain,DEF,8.0,
SPA_05,Corov,Spain,DEF,6.5,
SPA_06,Coral,Spain,DEF,6.0,
SPA_07,Corander,Spain,DEF,7.5,
SPA_08,Corino,Spain,MID,7.5,
SPA_09,Corsson,Spain,MID,9.0,
SPA_10,Corez,Spain,MID,9.5,
SPA_11,Corard,Spain,MID,9.0,
SPA_12,Corot,Spain,MID,7.0,
SPA_13,Corius,Spain,FWD,8.5,
SPA_14,Corby,Spain,FWD,7.5,
SPA_15,Corek,Spain,FWD,10.5,
POR_01,Dalen,Portugal,GK,5.0,
POR_02,Dalos,Portugal,GK,5.5,
POR_03,Dalic,Portugal,DEF,7.5,
POR_04,Dalke,Portugal,DEF,7.0,
POR_05,Dalov,Portugal,DEF,6.0,
POR_06,Dalal,Portugal,DEF,7.0,
POR_07,Dalander,Portugal,DEF,8.0,
POR_08,Dalino,Portugal,MID,8.0,
POR_09,Dalsson,Portugal,MID,7.0,
POR_10,Dalez,Portugal,MID,10.5,
POR_11,Dalard,Portugal,MID,9.5,
POR_12,Dalot,Portugal,MID,8.0,
POR_13,Dalius,Portugal,FWD,9.5,
POR_14,Dalby,Portugal,FWD,8.0,
POR_15,Dalek,Portugal,FWD,11.0,
ENG_01,Fenen,England,GK,5.5,
ENG_02,Fenos,England,GK,5.5,
ENG_03,Fenic,England,DEF,5.5,
ENG_04,Fenke,England,DEF,6.5,
ENG_05,Fenov,England,DEF,5.5,
ENG_06,Fenal,England,DEF,6.5,
ENG_07,Fenander,England,DEF,6.5,
ENG_08,Fenino,England,MID,9.0,
ENG_09,Fensson,England,MID,8.5,
ENG_10,Fenez,England,MID,9.5,
ENG_11,Fenard,England,MID,9.0,
ENG_12,Fenot,England,MID,8.0,
ENG_13,Fenius,England,FWD,8.5,
ENG_14,Fenby,England,FWD,9.5,
ENG_15,Fenek,England,FWD,10.5,
GER_01,Groen,Germany,GK,6.0,
GER_02,Groos,Germany,GK,5.5,
GER_03,Groic,Germany,DEF,7.5,
GER_04,Groke,Germany,DEF,6.5,
GER_05,Groov,Germany,DEF,6.5,
GER_06,Groal,Germany,DEF,6.0,
GER_07,Groander,Germany,DEF,6.5,
GER_08,Groino,Germany,MID,7.5,
GER_09,Grosson,Germany,MID,7.0,
GER_10,Groez,Germany,MID,8.5,
GER_11,Groard,Germany,MID,10.0,
GER_12,Groot,Germany,MID,7.5,
GER_13,Groius,Germany,FWD,8.5,
GER_14,Groby,Germany,FWD,9.5,
GER_15,Groek,Germany,FWD,11.0,
NET_01,Halen,Netherlands,GK,5.5,
NET_02,Halos,Netherlands,GK,7.0,
NET_03,Halic,Netherlands,DEF,6.0,
NET_04,Halke,Netherlands,DEF,7.5,
NET_05,Halov,Netherlands,DEF,7.5,
NET_06,Halal,Netherlands,DEF,5.5,
NET_07,Halander,Netherlands,DEF,6.5,
NET_08,Halino,Netherlands,MID,6.5,
NET_09,Halsson,Netherlands,MID,7.5,
NET_10,Halez,Netherlands,MID,8.5,
NET_11,Halard,Netherlands,MID,8.5,
NET_12,Halot,Netherlands,MID,6.5,
NET_13,Halius,Netherlands,FWD,9.5,
NET_14,Halby,Netherlands,FWD,9.0,
NET_15,Halek,Netherlands,FWD,10.5,
CRO_01,Koven,Croatia,GK,6.0,
CRO_02,Kovos,Croatia,GK,5.0,
CRO_03,Kovic,Croatia,DEF,5.5,
CRO_04,Kovke,Croatia,DEF,5.5,
CRO_05,Kovov,Croatia,DEF,5.5,
CRO_06,Koval,Croatia,DEF,6.5,
CRO_07,Kovander,Croatia,DEF,5.0,
CRO_08,Kovino,Croatia,MID,6.0,
CRO_09,Kovsson,Croatia,MID,7.5,
CRO_10,Kovez,Croatia,MID,9.5,
CRO_11,Kovard,Croatia,MID,9.0,
CRO_12,Kovot,Croatia,MID,7.5,
CRO_13,Kovius,Croatia,FWD,9.0,
CRO_14,Kovby,Croatia,FWD,7.5,
CRO_15,Kovek,Croatia,FWD,10.5,
USA_01,Limen,USA,GK,5.5,
USA_02,Limos,USA,GK,5.5,
USA_03,Limic,USA,DEF,5.0,
USA_04,Limke,USA,DEF,5.0,
USA_05,Limov,USA,DEF,5.5,
